Compound,CSID
0.70_229.0111m/z,CSID225
0.70_229.0111m/z,CSID2299693
0.70_229.0111m/z,CSID2301543
0.70_229.0111m/z,CSID26332127
0.70_229.0111m/z,CSID388313
0.70_229.0111m/z,CSID388327
0.70_229.0111m/z,CSID388330
0.70_229.0111m/z,CSID388354
0.70_229.0111m/z,CSID388373
0.70_229.0111m/z,CSID388398
0.70_229.0111m/z,CSID388406
0.70_229.0111m/z,CSID388470
0.70_229.0111m/z,CSID388516
0.70_229.0111m/z,CSID388704
0.70_229.0111m/z,CSID389102
0.70_229.0111m/z,CSID389103
0.70_229.0111m/z,CSID389151
0.70_229.0111m/z,CSID389787
0.70_229.0111m/z,CSID389840
0.70_229.0111m/z,CSID389858
0.70_229.0111m/z,CSID389860
0.70_229.0111m/z,CSID389974
0.70_229.0111m/z,CSID390200
0.70_229.0111m/z,CSID390202
0.70_229.0111m/z,CSID4573911
0.70_229.0111m/z,CSID49
0.70_229.0111m/z,CSID58552
0.70_229.0111m/z,CSID76444
0.70_229.0111m/z,CSID8205
0.70_229.0111m/z,CSID827
0.70_229.0111m/z,CSID85463
0.70_229.0111m/z,CSID92502
0.72_932.2265m/z,CSID30791672
0.73_490.1024m/z,CSID146800
1.80_268.1006m/z,CSID4877064
1.80_268.1006m/z,CSID53919
0.92_284.0240m/z,CSID143313
0.92_284.0240m/z,CSID5145
5.15_1023.4427m/z,CSID390506
0.64_482.9606m/z,CSID165724
0.64_482.9606m/z,CSID5903
0.93_223.0759m/z,CSID11318
0.93_223.0759m/z,CSID136004
0.93_223.0759m/z,CSID141259
0.93_223.0759m/z,CSID15537041
0.93_223.0759m/z,CSID17270
0.93_223.0759m/z,CSID2179
0.93_223.0759m/z,CSID388723
0.93_223.0759m/z,CSID389616
0.93_223.0759m/z,CSID4445524
0.93_223.0759m/z,CSID4445525
0.93_223.0759m/z,CSID553827
0.93_223.0759m/z,CSID7827511
0.93_223.0759m/z,CSID87
0.93_223.0759m/z,CSID9833
2.76_576.2011m/z,CSID59758
0.73_560.1398m/z,CSID2298298
0.73_560.1398m/z,CSID8328162
0.87_502.9829m/z,CSID56098
0.73_460.1609m/z,CSID4445650
0.73_460.1609m/z,CSID4514548
0.73_460.1609m/z,CSID4588593
0.73_460.1609m/z,CSID8399758
0.64_404.0994m/z,CSID10481986
0.64_404.0994m/z,CSID171430
0.64_404.0994m/z,CSID18069
0.64_404.0994m/z,CSID3240
2.16_1144.6015m/z,CSID30790956
1.32_175.0434m/z,CSID10295
1.32_175.0434m/z,CSID11290591
1.32_175.0434m/z,CSID388539
1.32_175.0434m/z,CSID4444190
1.32_175.0434m/z,CSID451641
0.93_301.0498m/z,CSID10128623
0.93_301.0498m/z,CSID105694
0.93_301.0498m/z,CSID10642377
0.93_301.0498m/z,CSID140368
0.93_301.0498m/z,CSID3252
0.93_301.0498m/z,CSID4777171
0.93_301.0498m/z,CSID7950
2.03_190.0539m/z,CSID1760
2.03_190.0539m/z,CSID19250428
2.03_190.0539m/z,CSID395338
2.03_190.0539m/z,CSID4573742
2.03_190.0539m/z,CSID5945
0.77_197.9693m/z,CSID30791335
0.72_491.0935m/z,CSID28639397
0.72_491.0935m/z,CSID29361816
0.72_491.0935m/z,CSID83452
0.72_621.0354m/z,CSID19242
0.72_621.0354m/z,CSID19989853
0.93_196.0750m/z,CSID10455
0.93_196.0750m/z,CSID2006614
0.93_196.0750m/z,CSID2707452
0.93_196.0750m/z,CSID391843
0.93_196.0750m/z,CSID571006
0.93_196.0750m/z,CSID5752
0.93_196.0750m/z,CSID68142
1.47_327.0425m/z,CSID64687
1.47_327.0425m/z,CSID65038
0.79_145.0616m/z,CSID128633
0.79_145.0616m/z,CSID141172
0.79_145.0616m/z,CSID144380
0.79_145.0616m/z,CSID5746
0.79_145.0616m/z,CSID718
1.47_293.0701m/z,CSID107878
1.47_293.0701m/z,CSID16560
1.47_293.0701m/z,CSID18460
1.47_293.0701m/z,CSID19113
1.47_293.0701m/z,CSID263773
1.47_293.0701m/z,CSID30791720
