"","unlist.path_gene2."
"2681","13082"
"2682","232174"
"2683","546726"
"2686","13086"
"2687","13087"
"2688","13085"
"2707","74134"
"2741","67442"
"2744","67417"
"2745","107508"
"2746","17025"
"2747","15288"
"2748","22276"
"2749","22275"
"2750","12892"
"2751","19044"
"2752","14151"
"2755","77697"
"2756","15368"
"2757","15369"
"2758","109778"
"2779","15159"
"2780","12870"
"2781","15203"
"2782","14297"
"2787","15357"
"2788","17855"
"2789","68603"
"2790","192156"
"2791","319554"
"2792","320581"
"2793","102635781"
"2794","110196"
"2795","14593"
"2796","56075"
"2797","71365"
"2798","67422"
"2799","52014"
"2800","14272"
"2801","110606"
"2802","19671"
"2803","230709"
"2804","57295"
"2805","66881"
"2809","12350"
"2810","12352"
"2811","12353"
"2812","23831"
"2813","56078"
"2814","12346"
"2815","230099"
"2816","76459"
"2817","12354"
"2818","12319"
"2819","80733"
"2820","71934"
"2821","12349"
"2822","12351"
"2825","23827"
"2827","211389"
"2828","59010"
"2829","66071"
"2832","20342"
"2833","20341"
"2861","13849"
"2862","20859"
"2863","629203"
"2866","13107"
"2891","110198"
"2901","14261"
"2902","14262"
"2903","14263"
"2904","55990"
"2905","226564"
"2906","226565"
"2907","226601"
"2908","240894"
"2909","226604"
"2974","22017"
"2977","13897"
"2978","104158"
"2979","13884"
"2980","234564"
"2981","234673"
"2982","72361"
"2983","436059"
"2984","102022"
"2985","234671"
"2986","234669"
"3030","17523"
"3071","20249"
"3072","20250"
"3073","30049"
"3074","329065"
"3076","76267"
